LoanStatus_mod,ProsperScore,IncomeRange_Mod,Total
Bad Loan,9,"2) $1-24,999",22
Completed,9,"2) $1-24,999",120
Current,9,"2) $1-24,999",47
Bad Loan,9,"3) $25,000-49,999",115
Completed,9,"3) $25,000-49,999",807
Current,9,"3) $25,000-49,999",565
Bad Loan,9,"4) $50,000-74,999",127
Completed,9,"4) $50,000-74,999",844
Current,9,"4) $50,000-74,999",1075
Bad Loan,9,"5) $75,000-99,999",65
Completed,9,"5) $75,000-99,999",524
Current,9,"5) $75,000-99,999",823
Bad Loan,9,"6) $100,000+",81
Completed,9,"6) $100,000+",538
Current,9,"6) $100,000+",1130
Bad Loan,10,1) 0,1
Completed,10,1) 0,2
Bad Loan,10,"2) $1-24,999",3
Completed,10,"2) $1-24,999",43
Current,10,"2) $1-24,999",27
Bad Loan,10,"3) $25,000-49,999",20
Completed,10,"3) $25,000-49,999",260
Current,10,"3) $25,000-49,999",279
Bad Loan,10,"4) $50,000-74,999",28
Completed,10,"4) $50,000-74,999",423
Current,10,"4) $50,000-74,999",819
Bad Loan,10,"5) $75,000-99,999",21
Completed,10,"5) $75,000-99,999",357
Current,10,"5) $75,000-99,999",730
Bad Loan,10,"6) $100,000+",21
Completed,10,"6) $100,000+",502
Current,10,"6) $100,000+",1214
Current,11,"2) $1-24,999",7
Completed,11,"3) $25,000-49,999",7
Current,11,"3) $25,000-49,999",121
Completed,11,"4) $50,000-74,999",3
Current,11,"4) $50,000-74,999",363
Bad Loan,11,"5) $75,000-99,999",1
Completed,11,"5) $75,000-99,999",10
Current,11,"5) $75,000-99,999",304
Bad Loan,11,"6) $100,000+",1
Completed,11,"6) $100,000+",14
Current,11,"6) $100,000+",625
